name,type,recscope,defval,units,note,linkinfo,is_time,is_integer,is_real,is_numeric
cparms_sg000,string,variable,compress Rice,none,,,False,False,False,False
magnetogram_bzero,double,variable,0,none,,,False,False,True,True
magnetogram_bscale,double,variable,0.1,none,,,False,False,True,True
cparms_sg001,string,variable,,none,,,False,False,False,False
bitmap_bzero,double,variable,0,none,,,False,False,True,True
bitmap_bscale,double,variable,1,none,,,False,False,True,True
cparms_sg002,string,variable,compress Rice,none,,,False,False,False,False
Dopplergram_bzero,double,variable,0,none,,,False,False,True,True
Dopplergram_bscale,double,variable,0.5,none,,,False,False,True,True
cparms_sg003,string,variable,compress Rice,none,,,False,False,False,False
continuum_bzero,double,variable,97304,none,,,False,False,True,True
continuum_bscale,double,variable,3,none,,,False,False,True,True
cparms_sg004,string,variable,compress Rice,none,,,False,False,False,False
Bp_bzero,double,variable,0,none,,,False,False,True,True
Bp_bscale,double,variable,0.01,none,,,False,False,True,True
cparms_sg005,string,variable,compress Rice,none,,,False,False,False,False
Bt_bzero,double,variable,0,none,,,False,False,True,True
Bt_bscale,double,variable,0.01,none,,,False,False,True,True
cparms_sg006,string,variable,compress Rice,none,,,False,False,False,False
Br_bzero,double,variable,0,none,,,False,False,True,True
Br_bscale,double,variable,0.01,none,,,False,False,True,True
cparms_sg007,string,variable,compress Rice,none,,,False,False,False,False
Bp_err_bzero,double,variable,0,none,,,False,False,True,True
Bp_err_bscale,double,variable,0.001,none,,,False,False,True,True
cparms_sg008,string,variable,compress Rice,none,,,False,False,False,False
Bt_err_bzero,double,variable,0,none,,,False,False,True,True
Bt_err_bscale,double,variable,0.001,none,,,False,False,True,True
cparms_sg009,string,variable,compress Rice,none,,,False,False,False,False
Br_err_bzero,double,variable,0,none,,,False,False,True,True
Br_err_bscale,double,variable,0.001,none,,,False,False,True,True
cparms_sg010,string,variable,compress Rice,none,,,False,False,False,False
conf_disambig_bzero,double,variable,0,none,,,False,False,True,True
conf_disambig_bscale,double,variable,1,none,,,False,False,True,True
DATE,time,variable,-4712.01.01_11:59:28Z,ISO,Time that the SHARP keywords were calculated,,True,False,False,False
DATE_S,time,variable,-4712.01.01_11:59:28Z,ISO,Date_time of generating Stokes data,,True,False,False,False
DATE_B,time,variable,-4712.01.01_11:59:28Z,ISO,Date_time of generating Bharp data,,True,False,False,False
DATE__OBS,time,variable,-4712.01.01_11:59:28.00Z,ISO,[DATE-OBS] DATE_OBS = T_OBS - EXPTIME/2.0,,True,False,False,False
DATE-OBS,time,variable,-4712.01.01_11:59:28.00Z,ISO,[DATE-OBS] DATE_OBS = T_OBS - EXPTIME/2.0,,True,False,False,False
T_OBS,time,variable,-4712.01.01_11:59:28_TAI,TAI,nominal time,,True,False,False,False
T_REC,time,ts_eq,-4712.01.01_11:59:28_TAI,TAI,Slot time,,True,False,False,False
T_REC_epoch,time,constant,1993.01.01_00:00:00_TAI,TAI,Time of origin,,True,False,False,False
T_REC_step,float,constant,720.0,seconds,ts_eq step,,False,False,True,True
T_REC_unit,string,constant,secs,none,ts_eq unit,,False,False,False,False
